Province,Month-Year,Unemployment Rate
Canada,Jan-76,7.1
Canada,Feb-76,7
Canada,Mar-76,6.7
Canada,Apr-76,6.8
Canada,May-76,6.9
Canada,Jun-76,6.9
Canada,Jul-76,7.4
Canada,Aug-76,7.1
Canada,Sep-76,7
Canada,Oct-76,7.4
Canada,Nov-76,7.4
Canada,Dec-76,7.5
Canada,Jan-77,7.6
Canada,Feb-77,7.9
Canada,Mar-77,7.8
Canada,Apr-77,7.9
Canada,May-77,7.8
Canada,Jun-77,7.8
Canada,Jul-77,8.1
Canada,Aug-77,8.2
Canada,Sep-77,8.3
Canada,Oct-77,8.4
Canada,Nov-77,8.5
Canada,Dec-77,8.5
Canada,Jan-78,8.3
Canada,Feb-78,8.3
Canada,Mar-78,8.5
Canada,Apr-78,8.4
Canada,May-78,8.6
Canada,Jun-78,8.4
Canada,Jul-78,8.3
Canada,Aug-78,8.4
Canada,Sep-78,8.4
Canada,Oct-78,8.2
Canada,Nov-78,8.3
Canada,Dec-78,8.3
Canada,Jan-79,8.2
Canada,Feb-79,8
Canada,Mar-79,7.9
Canada,Apr-79,8
Canada,May-79,7.6
Canada,Jun-79,7.4
Canada,Jul-79,7.2
Canada,Aug-79,7.1
Canada,Sep-79,7
Canada,Oct-79,7.2
Canada,Nov-79,7.2
Canada,Dec-79,7.2
Canada,Jan-80,7.5
Canada,Feb-80,7.6
Canada,Mar-80,7.6
Canada,Apr-80,7.7
Canada,May-80,7.8
Canada,Jun-80,7.7
Canada,Jul-80,7.6
Canada,Aug-80,7.6
Canada,Sep-80,7.3
Canada,Oct-80,7.3
Canada,Nov-80,7.2
Canada,Dec-80,7.3
Canada,Jan-81,7.4
Canada,Feb-81,7.4
Canada,Mar-81,7.4
Canada,Apr-81,7.1
Canada,May-81,7.2
Canada,Jun-81,7.2
Canada,Jul-81,7.2
Canada,Aug-81,7.1
Canada,Sep-81,8.1
Canada,Oct-81,8.3
Canada,Nov-81,8.3
Canada,Dec-81,8.7
Canada,Jan-82,8.6
Canada,Feb-82,8.9
Canada,Mar-82,9.3
Canada,Apr-82,9.8
Canada,May-82,10.3
Canada,Jun-82,11.1
Canada,Jul-82,11.9
Canada,Aug-82,12
Canada,Sep-82,12.4
Canada,Oct-82,12.9
Canada,Nov-82,12.9
Canada,Dec-82,13.1
Canada,Jan-83,12.7
Canada,Feb-83,12.7
Canada,Mar-83,12.5
Canada,Apr-83,12.4
Canada,May-83,12.4
Canada,Jun-83,12.4
Canada,Jul-83,11.9
Canada,Aug-83,11.7
Canada,Sep-83,11.4
Canada,Oct-83,11.3
Canada,Nov-83,11.3
Canada,Dec-83,11.3
Canada,Jan-84,11.3
Canada,Feb-84,11.3
Canada,Mar-84,11.3
Canada,Apr-84,11.5
Canada,May-84,11.7
Canada,Jun-84,11.3
Canada,Jul-84,11.2
Canada,Aug-84,11.3
Canada,Sep-84,11.8
Canada,Oct-84,11.3
Canada,Nov-84,11.4
Canada,Dec-84,11.1
Canada,Jan-85,10.6
Canada,Feb-85,10.8
Canada,Mar-85,11
Canada,Apr-85,10.8
Canada,May-85,10.6
Canada,Jun-85,10.7
Canada,Jul-85,10.4
Canada,Aug-85,10.3
Canada,Sep-85,10.2
Canada,Oct-85,10.3
Canada,Nov-85,10.3
Canada,Dec-85,10.1
Canada,Jan-86,9.8
Canada,Feb-86,9.9
Canada,Mar-86,9.8
Canada,Apr-86,9.7
Canada,May-86,9.5
Canada,Jun-86,9.6
Canada,Jul-86,9.6
Canada,Aug-86,9.6
Canada,Sep-86,9.5
Canada,Oct-86,9.4
Canada,Nov-86,9.4
Canada,Dec-86,9.5
Canada,Jan-87,9.5
Canada,Feb-87,9.5
Canada,Mar-87,9.4
Canada,Apr-87,9.2
Canada,May-87,8.9
Canada,Jun-87,8.9
Canada,Jul-87,8.7
Canada,Aug-87,8.6
Canada,Sep-87,8.4
Canada,Oct-87,8.3
Canada,Nov-87,8.2
Canada,Dec-87,8
Canada,Jan-88,8.1
Canada,Feb-88,7.8
Canada,Mar-88,7.8
Canada,Apr-88,7.7
Canada,May-88,7.8
Canada,Jun-88,7.6
Canada,Jul-88,7.8
Canada,Aug-88,7.8
Canada,Sep-88,7.8
Canada,Oct-88,7.8
Canada,Nov-88,7.8
Canada,Dec-88,7.5
Canada,Jan-89,7.5
Canada,Feb-89,7.6
Canada,Mar-89,7.5
Canada,Apr-89,7.8
Canada,May-89,7.7
Canada,Jun-89,7.5
Canada,Jul-89,7.5
Canada,Aug-89,7.3
Canada,Sep-89,7.3
Canada,Oct-89,7.2
Canada,Nov-89,7.5
Canada,Dec-89,7.7
Canada,Jan-90,7.9
Canada,Feb-90,7.7
Canada,Mar-90,7.3
Canada,Apr-90,7.6
Canada,May-90,7.8
Canada,Jun-90,7.6
Canada,Jul-90,7.9
Canada,Aug-90,8.1
Canada,Sep-90,8.5
Canada,Oct-90,8.8
Canada,Nov-90,9.1
Canada,Dec-90,9.5
Canada,Jan-91,9.8
Canada,Feb-91,10.2
Canada,Mar-91,10.5
Canada,Apr-91,10.3
Canada,May-91,10.2
Canada,Jun-91,10.5
Canada,Jul-91,10.5
Canada,Aug-91,10.5
Canada,Sep-91,10.3
Canada,Oct-91,10.3
Canada,Nov-91,10.4
Canada,Dec-91,10.3
Canada,Jan-92,10.4
Canada,Feb-92,10.5
Canada,Mar-92,10.9
Canada,Apr-92,10.7
Canada,May-92,10.9
Canada,Jun-92,11.4
Canada,Jul-92,11.3
Canada,Aug-92,11.7
Canada,Sep-92,11.6
Canada,Oct-92,11.4
Canada,Nov-92,12.1
Canada,Dec-92,11.7
Canada,Jan-93,11.2
Canada,Feb-93,11
Canada,Mar-93,11.2
Canada,Apr-93,11.6
Canada,May-93,11.6
Canada,Jun-93,11.7
Canada,Jul-93,11.6
Canada,Aug-93,11.2
Canada,Sep-93,11.5
Canada,Oct-93,11.3
Canada,Nov-93,11.2
Canada,Dec-93,11.4
Canada,Jan-94,11.4
Canada,Feb-94,11.1
Canada,Mar-94,10.6
Canada,Apr-94,10.9
Canada,May-94,10.7
Canada,Jun-94,10.3
Canada,Jul-94,10.1
Canada,Aug-94,10.2
Canada,Sep-94,10.1
Canada,Oct-94,10
Canada,Nov-94,9.7
Canada,Dec-94,9.6
Canada,Jan-95,9.6
Canada,Feb-95,9.6
Canada,Mar-95,9.7
Canada,Apr-95,9.5
Canada,May-95,9.5
Canada,Jun-95,9.5
Canada,Jul-95,9.6
Canada,Aug-95,9.5
Canada,Sep-95,9.2
Canada,Oct-95,9.3
Canada,Nov-95,9.2
Canada,Dec-95,9.4
Canada,Jan-96,9.4
Canada,Feb-96,9.5
Canada,Mar-96,9.6
Canada,Apr-96,9.3
Canada,May-96,9.2
Canada,Jun-96,9.8
Canada,Jul-96,9.7
Canada,Aug-96,9.4
Canada,Sep-96,9.9
Canada,Oct-96,9.9
Canada,Nov-96,9.9
Canada,Dec-96,9.7
Canada,Jan-97,9.5
Canada,Feb-97,9.5
Canada,Mar-97,9.3
Canada,Apr-97,9.4
Canada,May-97,9.4
Canada,Jun-97,9.1
Canada,Jul-97,8.9
Canada,Aug-97,8.9
Canada,Sep-97,8.8
Canada,Oct-97,8.9
Canada,Nov-97,8.9
Canada,Dec-97,8.5
Canada,Jan-98,8.8
Canada,Feb-98,8.6
Canada,Mar-98,8.4
Canada,Apr-98,8.3
Canada,May-98,8.3
Canada,Jun-98,8.4
Canada,Jul-98,8.3
Canada,Aug-98,8.1
Canada,Sep-98,8.2
Canada,Oct-98,8
Canada,Nov-98,8
Canada,Dec-98,8.1
Canada,Jan-99,7.9
Canada,Feb-99,7.9
Canada,Mar-99,7.9
Canada,Apr-99,8.2
Canada,May-99,7.9
Canada,Jun-99,7.6
Canada,Jul-99,7.6
Canada,Aug-99,7.4
Canada,Sep-99,7.5
Canada,Oct-99,7.2
Canada,Nov-99,6.9
Canada,Dec-99,6.8
Canada,Jan-00,6.8
Canada,Feb-00,6.9
Canada,Mar-00,6.9
Canada,Apr-00,6.7
Canada,May-00,6.6
Canada,Jun-00,6.7
Canada,Jul-00,6.8
Canada,Aug-00,7
Canada,Sep-00,6.9
Canada,Oct-00,7
Canada,Nov-00,6.9
Canada,Dec-00,6.8
Canada,01-Jan,6.9
Canada,01-Feb,7
Canada,01-Mar,7.1
Canada,01-Apr,7.1
Canada,01-May,7
Canada,01-Jun,7.2
Canada,01-Jul,7.1
Canada,01-Aug,7.2
Canada,01-Sep,7.2
Canada,01-Oct,7.3
Canada,01-Nov,7.5
Canada,01-Dec,8.1
Canada,02-Jan,8
Canada,02-Feb,7.9
Canada,02-Mar,7.9
Canada,02-Apr,7.7
Canada,02-May,7.8
Canada,02-Jun,7.6
Canada,02-Jul,7.6
Canada,02-Aug,7.4
Canada,02-Sep,7.6
Canada,02-Oct,7.6
Canada,02-Nov,7.5
Canada,02-Dec,7.6
Canada,03-Jan,7.5
Canada,03-Feb,7.5
Canada,03-Mar,7.4
Canada,03-Apr,7.6
Canada,03-May,7.8
Canada,03-Jun,7.6
Canada,03-Jul,7.7
Canada,03-Aug,7.8
Canada,03-Sep,7.9
Canada,03-Oct,7.6
Canada,03-Nov,7.4
Canada,03-Dec,7.3
Canada,04-Jan,7.3
Canada,04-Feb,7.3
